Network,Station,Instrument_code,HVSR@f=0.100Hz,HVSR@f=0.121Hz,HVSR@f=0.145Hz,HVSR@f=0.175Hz,HVSR@f=0.210Hz,HVSR@f=0.253Hz,HVSR@f=0.305Hz,HVSR@f=0.367Hz,HVSR@f=0.442Hz,HVSR@f=0.532Hz,HVSR@f=0.640Hz,HVSR@f=0.771Hz,HVSR@f=0.928Hz,HVSR@f=1.117Hz,HVSR@f=1.344Hz,HVSR@f=1.618Hz,HVSR@f=1.948Hz,HVSR@f=2.345Hz,HVSR@f=2.823Hz,HVSR@f=3.398Hz,HVSR@f=4.090Hz,HVSR@f=4.923Hz,HVSR@f=5.926Hz,HVSR@f=7.134Hz,HVSR@f=8.588Hz,HVSR@f=10.337Hz,HVSR@f=12.444Hz,HVSR@f=14.979Hz,HVSR@f=18.031Hz,HVSR@f=21.705Hz,HVSR@f=26.127Hz,HVSR@f=31.451Hz,HVSR@f=37.859Hz,HVSR@f=45.572Hz
2F,TB022,HH,0.745232644769528,0.6886673139802507,0.7811916284810237,0.927488581476602,1.040166159939858,1.243901756213278,1.280676094829896,1.305352956090765,1.310956867385759,1.379871147656356,1.700349958725522,2.054590371527736,2.78597741620512,2.736591014837781,1.640581698467886,1.372137040918293,0.9446549222659272,1.134284072438812,1.287317587981574,1.271137298555724,1.359630643349627,1.732325140875016,1.142600093133642,0.9941824658120796,0.7773037340904793,1.08974207704961,1.177285392147391,1.605261081954841,0.9454807121353824,0.9350688915464578,0.8138119084437745,0.8060033447516816,0.8389489060907788,0.9260714181560286
2F,TB024,HH,0.6526970604385384,0.6351111950783068,0.7532058586950814,0.7533082580717384,0.8557210103904008,1.02639876651046,1.041605129497853,1.023062266653454,0.9634636708016752,1.038976927264879,1.130414097614993,1.162516190636176,1.078240529016685,0.9575759324371936,0.9149879545856964,0.9215785988304056,0.8566287247165604,0.9661340226426208,1.187957598430295,1.514987885493648,1.169196928918755,0.6701946533383824,0.6931766207849388,0.9682029790486892,1.173628950510125,1.219453987116971,1.221466289186673,1.245847321828265,1.094377284297443,1.299167326610304,1.171241998598214,1.231180543941099,0.7060918359066549,0.8979456792689348
2F,TB025,HH,1.128269197531688,0.7437564907862805,0.7339171017017573,0.7776232388655453,0.9340754626518,1.180110897666832,1.080116164600833,1.059633932658235,1.120791706128524,1.115509996261896,1.229443612058846,1.343516266795979,1.435315234248706,1.260440795971248,1.031033038801643,1.018759410226473,1.181656872648959,1.141163105837178,1.508535763389832,1.636653246098116,1.89282940123071,1.757669898184031,1.438661787602315,1.393220002692437,1.781140062790519,1.80578358099505,1.238678557355721,0.93775288923572,0.7711833435901708,0.7615049600784543,0.740424647323852,0.8079212453710477,1.084724686844615,0.9302712174137618
2F,TB026,HH,0.7837833701923157,0.7474741180426294,0.7627029560116004,0.8850778269641206,0.8720323025405469,1.203105470427237,1.190572893130663,1.187471852169204,1.180099467182268,1.196879025335754,1.122568739126528,1.221838191463187,1.253470015259037,1.492308921730272,1.417311773085081,1.050902012864835,1.020043540346275,1.208243027645514,1.288124596196102,2.108232614581829,2.004504105825115,1.763555191930524,1.143467819866155,0.9074458098197532,0.7896275741947651,0.7513719251296772,1.184047863612348,1.564562114882843,0.9164349181028788,0.6907799578589466,0.5553107224825546,0.2623880838100844,0.6103885915327762,0.8968193919976373
5A,NV010,HH,0.8514836977572071,0.9913397896687342,1.01230919519933,0.907842305590876,0.9540222740129536,1.137161485368688,1.168177555009741,0.9997811036127172,0.9573280639831896,1.042238486469341,0.8813859019139267,0.86755043085827,1.024207329515275,1.118117188555255,1.885276667571278,1.713222583429382,1.772866343729117,1.450152233695218,1.421085726381127,0.9010800719687372,0.944712094697086,0.9519286442882788,0.994298941347076,0.9060872661159376,0.8493212985825297,0.8449082018290963,0.7910864030707877,0.7812094014569827,0.7256611919138909,0.6935603798469409,0.7058316149995152,0.8264527203231402,0.9537395501146532,0.933822910494222
5A,NV020,HH,0.8377532731566053,1.001155313997086,1.038631803117176,0.9199773923778104,0.9853624848321914,1.179455928834688,1.251667615120582,1.143572704775399,0.9651452295475336,0.872860712773454,0.770069354473048,0.9111793240295334,0.9647758380553646,1.508460880191258,1.805194510281832,1.73847034684277,1.918728380838596,1.645765857335811,1.516115933260239,1.238871735795796,1.062990250055334,0.881445105221178,0.9810973915669414,0.9678979501798246,0.9116284909143684,0.8327597810290776,0.7722814357952538,0.7016180572446636,0.6823830429640866,0.7183170424193913,0.6477081976371937,0.6887177254845087,0.8330758645893637,0.9313626406690008
5A,NV050,HH,0.8655513117000213,1.027283164130369,1.094935294320147,1.006783178641381,1.156955672007793,1.38250398830379,1.477860782728829,1.534275955509298,1.353123229159836,1.24470442518004,0.9330805510317288,0.655462900409579,0.8482940751769178,1.269175130624756,2.040584987862793,3.08101404180316,2.803629731433042,2.153628657635283,1.901178248785021,1.460977276952484,0.8169414113211657,0.4649465802504367,0.6283474767661749,0.7047692670869754,0.7890939104052772,0.7508255784217704,0.7642516650247816,0.8606528225009652,0.8716276411255021,0.7886744768120738,0.7319656391605671,0.8292882415884382,1.043157731984155,1.045184232915646
5A,NV060,HH,0.8595255339052075,0.9755497015156768,1.053912147811407,0.974557498682664,1.099666700057426,1.293078477703602,1.231683313088201,1.347314432807649,1.324298246922845,1.294273458498987,0.970707873894086,0.99121676047524,0.8658870014518142,1.115079466278521,1.387354096709963,1.337093013734818,1.867655700031841,2.164498307041022,1.442849615333963,1.374227375398192,1.24347965016312,0.9179075191230782,0.7446613469602624,0.6572683809556914,0.5790873662500533,0.5486425163905788,0.5432927285117021,0.5219660509153324,0.5261933497375918,0.5720766599889234,0.6294873670293497,0.7812677311008845,0.9083308818352434,0.956060517720511
5A,NV080,HH,0.8401154825482403,0.9372495017148484,0.9813561133803842,0.8976537741953784,0.9814729212469469,1.07229666873904,0.9157219299221738,1.009222562607651,1.011925895376043,0.914063842862496,0.8815192109825999,1.056554706372907,1.250811998643943,1.502376806665977,1.738647596943821,1.97029031756426,1.551471656425261,1.496963320851702,1.634283971320539,1.373976031099756,1.282159503904383,1.221065689402577,1.211119116834534,1.166524446093128,1.207039407769871,1.19230300728049,1.059412902952785,0.9534842634457428,0.987870034156894,1.351227611014072,1.929224809989922,2.252768534177706,3.557719838100669,1.373367249014101
5A,NV090,HH,0.8516439860644941,0.9165042429625632,0.9006853107459286,0.9085974602125908,1.012941796008956,0.9637658586220256,0.7992252163408257,0.8480019091532031,0.9292323149428652,0.7899736575630889,0.8781898674021212,0.8163821233819653,1.000967185806975,1.230010203987025,2.015587707894765,2.462592985989857,2.211255093540789,1.302358439268136,1.042674578703694,0.991300733126816,0.8751384603609501,0.6912112437828455,0.7859082531727882,0.7123082417884825,0.6090949627905098,0.5330281227410021,0.4800697628871484,0.4541878828618955,0.4796744386329316,0.5902060034757419,0.7545123494888486,0.6746215770237365,0.921256842051354,0.9331891495732092
